Var1	Freq
Acne (severe)	5
Adiponectin levels	1
Adiposity	2
Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)	3
Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel)	1
Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)	1
Age of smoking initiation	1
Age-related macular degeneration	2
Alcohol and nictotine co-dependence	1
Alcohol dependence	1
Allergic rhinitis	6
Allergic sensitization	1
Alopecia areata	2
Amyotrophic lateral sclerosis	4
Amyotrophic lateral sclerosis (sporadic)	2
Anger	4
Ankylosing spondylitis	3
Anti-cyclic Citrullinated Peptide Antibody	1
Aortic root size	1
Asperger disorder	1
Aspirin exacerbated respiratory disease in asthmatics	2
Asthma (corticosteroid response)	1
Asthma (sex interaction)	1
Atopic dermatitis	3
Atrial fibrillation/atrial flutter	1
Attention deficit hyperactivity disorder	1
Attention deficit hyperactivity disorder and conduct disorder	2
Autoimmune hepatitis type-1	3
Barrett's esophagus	1
Basal cell carcinoma	3
Behavioural disinhibition (generation interaction)	1
Behcet's disease	3
Beta-2 microglubulin plasma levels	3
Biochemical measures	1
Bipolar disorder	2
Bipolar disorder and schizophrenia	4
Bipolar disorder with mood-incongruent psychosis	2
Black vs. red hair color	2
Bladder cancer	6
Blond vs. brown hair color	1
Blood metabolite levels	12
Blood metabolite ratios	2
Blood pressure	5
Body mass index	2
Body mass index (interaction)	1
Bone mineral density	12
Bone mineral density (hip)	1
Bone mineral density (paediatric, total body less head)	1
Brain structure (temporal lobe volume)	1
Breast cancer	13
Breast Cancer in BRCA1 mutation carriers	2
Bronchopulmonary dysplasia	1
C-reactive protein	2
C-reactive protein levels	2
Calcium levels	3
Cardiac Troponin-T levels	3
Carotid atherosclerosis in HIV infection	1
CD4:CD8 lymphocyte ratio	2
Celiac disease	2
Celiac disease and Rheumatoid arthritis	2
Cervical cancer	3
Cholesterol, total	3
Chronic hepatitis B infection	2
Chronic kidney disease	8
Chronic obstructive pulmonary disease-related biomarkers	3
Chronic periodontitis	1
Circulating myeloperoxidase levels (plasma)	1
Cognitive decline (age-related)	1
Cognitive performance	3
Colorectal cancer	11
